date,temp_max,temp_min,year_month,year
2020-01-01,31.1,20.3,2020-01,2020
2020-01-02,28.0,19.8,2020-01,2020
2020-01-03,23.7,18.0,2020-01,2020
2020-01-04,24.7,17.6,2020-01,2020
2020-01-05,24.0,17.0,2020-01,2020
2020-01-06,27.8,18.1,2020-01,2020
2020-01-07,29.9,19.9,2020-01,2020
2020-01-08,28.1,20.8,2020-01,2020
2020-01-09,27.0,20.9,2020-01,2020
2020-01-10,28.8,21.4,2020-01,2020
2020-01-11,30.2,22.3,2020-01,2020
2020-01-12,25.5,20.9,2020-01,2020
2020-01-13,24.0,19.4,2020-01,2020
2020-01-14,25.0,18.8,2020-01,2020
2020-01-15,29.4,18.6,2020-01,2020
2020-01-16,31.2,20.6,2020-01,2020
2020-01-17,21.7,17.2,2020-01,2020
2020-01-18,23.3,17.4,2020-01,2020
2020-01-19,25.1,17.5,2020-01,2020
2020-01-20,24.2,17.5,2020-01,2020
2020-01-21,26.0,14.8,2020-01,2020
2020-01-22,25.0,15.9,2020-01,2020
2020-01-23,21.7,16.7,2020-01,2020
2020-01-24,22.2,16.1,2020-01,2020
2020-01-25,25.5,15.9,2020-01,2020
2020-01-26,28.2,14.3,2020-01,2020
2020-01-27,30.4,15.0,2020-01,2020
2020-01-28,30.3,17.2,2020-01,2020
2020-01-29,29.0,18.9,2020-01,2020
2020-01-30,28.4,21.4,2020-01,2020
2020-01-31,28.2,21.4,2020-01,2020
2020-02-01,27.2,20.6,2020-02,2020
2020-02-02,25.9,19.4,2020-02,2020
2020-02-03,24.2,18.6,2020-02,2020
2020-02-04,25.4,18.7,2020-02,2020
2020-02-05,26.2,19.0,2020-02,2020
2020-02-06,26.0,18.6,2020-02,2020
2020-02-07,27.1,19.3,2020-02,2020
2020-02-08,28.2,18.7,2020-02,2020
2020-02-09,27.3,20.6,2020-02,2020
2020-02-10,21.9,17.7,2020-02,2020
2020-02-11,21.4,16.9,2020-02,2020
2020-02-12,21.5,15.9,2020-02,2020
2020-02-13,24.4,17.4,2020-02,2020
2020-02-14,26.3,17.6,2020-02,2020
2020-02-15,28.7,16.8,2020-02,2020
2020-02-16,29.8,18.6,2020-02,2020
2020-02-17,29.7,19.9,2020-02,2020
2020-02-18,29.6,20.2,2020-02,2020
2020-02-19,29.1,21.1,2020-02,2020
2020-02-20,28.8,20.5,2020-02,2020
2020-02-21,23.9,19.6,2020-02,2020
2020-02-22,19.8,16.5,2020-02,2020
2020-02-23,21.4,15.2,2020-02,2020
2020-02-24,25.4,16.1,2020-02,2020
2020-02-25,27.5,18.0,2020-02,2020
2020-02-26,24.7,19.9,2020-02,2020
2020-02-27,20.6,16.3,2020-02,2020
2020-02-28,21.0,16.1,2020-02,2020
2020-02-29,22.3,17.6,2020-02,2020
2020-03-01,22.1,17.7,2020-03,2020
2020-03-02,23.6,16.7,2020-03,2020
2020-03-03,22.7,15.4,2020-03,2020
2020-03-04,23.0,16.0,2020-03,2020
2020-03-05,23.8,16.2,2020-03,2020
2020-03-06,23.8,14.3,2020-03,2020
2020-03-07,24.5,15.5,2020-03,2020
2020-03-08,25.1,14.9,2020-03,2020
2020-03-09,25.3,16.8,2020-03,2020
2020-03-10,27.0,17.4,2020-03,2020
2020-03-11,26.9,16.6,2020-03,2020
2020-03-12,27.4,16.9,2020-03,2020
2020-03-13,28.5,16.8,2020-03,2020
2020-03-14,27.8,17.9,2020-03,2020
2020-03-15,29.5,18.3,2020-03,2020
2020-03-16,29.5,19.5,2020-03,2020
2020-03-17,29.1,19.1,2020-03,2020
2020-03-18,29.1,18.7,2020-03,2020
2020-03-19,27.8,19.9,2020-03,2020
2020-03-20,25.3,19.6,2020-03,2020
2020-03-21,22.5,16.9,2020-03,2020
2020-03-22,24.1,15.4,2020-03,2020
2020-03-23,24.0,15.4,2020-03,2020
2020-03-24,22.7,14.5,2020-03,2020
2020-03-25,23.8,13.7,2020-03,2020
2020-03-26,24.5,12.8,2020-03,2020
2020-03-27,25.6,14.7,2020-03,2020
2020-03-28,26.3,16.5,2020-03,2020
2020-03-29,26.1,16.9,2020-03,2020
2020-03-30,25.7,17.3,2020-03,2020
2020-03-31,26.2,17.8,2020-03,2020
2020-04-01,26.4,17.7,2020-04,2020
2020-04-02,28.3,18.7,2020-04,2020
2020-04-03,26.1,15.7,2020-04,2020
2020-04-04,23.6,14.0,2020-04,2020
2020-04-05,25.5,15.8,2020-04,2020
2020-04-06,29.6,16.2,2020-04,2020
2020-04-07,24.1,17.8,2020-04,2020
2020-04-08,21.0,15.2,2020-04,2020
2020-04-09,21.3,13.1,2020-04,2020
2020-04-10,22.6,12.3,2020-04,2020
2020-04-11,21.9,13.5,2020-04,2020
2020-04-12,23.5,14.4,2020-04,2020
2020-04-13,24.8,13.3,2020-04,2020
2020-04-14,24.5,15.6,2020-04,2020
2020-04-15,25.9,16.7,2020-04,2020
2020-04-16,26.6,15.8,2020-04,2020
2020-04-17,21.5,14.3,2020-04,2020
2020-04-18,22.7,14.1,2020-04,2020
2020-04-19,23.7,15.1,2020-04,2020
2020-04-20,24.3,15.2,2020-04,2020
2020-04-21,24.9,13.4,2020-04,2020
2020-04-22,24.9,14.7,2020-04,2020
2020-04-23,25.2,14.5,2020-04,2020
2020-04-24,26.3,16.0,2020-04,2020
2020-04-25,28.0,16.1,2020-04,2020
2020-04-26,26.9,14.1,2020-04,2020
2020-04-27,24.7,14.9,2020-04,2020
2020-04-28,25.8,14.2,2020-04,2020
2020-04-29,26.2,14.4,2020-04,2020
2020-04-30,26.5,14.8,2020-04,2020
2020-05-01,26.5,14.0,2020-05,2020
2020-05-02,25.2,16.0,2020-05,2020
2020-05-03,21.0,12.3,2020-05,2020
2020-05-04,23.5,11.8,2020-05,2020
2020-05-05,26.7,11.9,2020-05,2020
2020-05-06,26.5,15.0,2020-05,2020
2020-05-07,16.5,12.4,2020-05,2020
2020-05-08,18.9,11.6,2020-05,2020
2020-05-09,21.3,12.5,2020-05,2020
2020-05-10,23.2,10.8,2020-05,2020
2020-05-11,23.4,10.8,2020-05,2020
2020-05-12,24.8,10.0,2020-05,2020
2020-05-13,23.8,11.9,2020-05,2020
2020-05-14,21.4,15.3,2020-05,2020
2020-05-15,17.2,13.8,2020-05,2020
2020-05-16,22.1,12.8,2020-05,2020
2020-05-17,23.1,9.7,2020-05,2020
2020-05-18,23.5,10.6,2020-05,2020
2020-05-19,23.4,14.1,2020-05,2020
2020-05-20,24.0,14.4,2020-05,2020
2020-05-21,25.5,13.0,2020-05,2020
2020-05-22,26.2,15.8,2020-05,2020
2020-05-23,22.4,15.9,2020-05,2020
2020-05-24,16.8,10.6,2020-05,2020
2020-05-25,18.4,9.9,2020-05,2020
2020-05-26,18.9,8.9,2020-05,2020
